order_date_new,brand,product_category,new_customer_gender,new_shoe_size,new_country,sales_channel,quantity,unit_price,revenue,payment_method,new_loyalty_member,returned_flag_bool
2023-08-26,Under Armour,Training,M,9.5,Germany,Offline,1,79.99,79.99,Unknown,Yes,1
2023-01-10,ASICS,Casual,F,N/A,USA,Mobile App,1,99.99,99.99,Cash,Yes,1
2023-04-26,ASICS,Training,M,8.5,IND,Mobile App,2,120.50,241.00,Unknown,No,1
2024-02-20,Nike,Training,F,N/A,IND,Offline,3,59.99,179.97,Credit Card,Yes,0
2023-08-30,ASICS,Casual,M,11,IND,unknown,3,99.99,299.97,Debit Card,Yes,
2023-05-02,New Balance,Basketball,Unkown,8,IND,Store,3,79.99,239.97,PayPal,No,1
2023-05-17,New Balance,Basketball,M,N/A,Unkown,unknown,2,120.50,241.00,Debit Card,No,
2023-03-25,ASICS,Basketball,M,8,USA,Mobile App,,,,PayPal,No,
2024-07-03,Reebok,Running,Unkown,10,Germany,Online,2,99.99,199.98,PayPal,No,1
2024-04-09,New Balance,Running,F,N/A,IND,unknown,,120.50,,Credit Card,No,0
2023-01-04,Nike,Running,M,8.5,USA,Mobile App,2,,,Credit Card,Yes,0
2023-02-02,Under Armour,Training,Unkown,9.5,IND,Web,,79.99,,Cash,No,0
2023-03-24,New Balance,Football,F,9,UK,Online,2,99.99,199.98,Credit Card,Yes,0
2024-03-10,Adidas,Football,Other,9,IND,Offline,,79.99,,Unknown,Yes,1
2024-03-05,Nike,Casual,M,N/A,USA,Offline,1,79.99,79.99,Unknown,Yes,0
2024-03-25,Puma,Training,Unkown,8.5,IND,Offline,2,59.99,119.98,UPI,No,
2024-06-17,Puma,Running,F,9,Germany,Mobile App,,99.99,,Cash,Yes,0
2024-01-26,Puma,Football,F,N/A,UK,Offline,3,120.50,361.50,UPI,No,0
2023-03-01,New Balance,Casual,F,9.5,UK,Store,,120.50,,Debit Card,Yes,
2023-03-22,Under Armour,Training,M,11,Germany,unknown,3,59.99,179.97,PayPal,N/A,1
2023-03-16,Puma,Basketball,M,10,UK,unknown,2,120.50,241.00,Credit Card,No,1
2023-07-29,Puma,Basketball,M,N/A,Unkown,unknown,2,,,UPI,Yes,0
2024-01-04,Nike,Football,Other,10,IND,Store,,120.50,,Cash,Yes,
2023-08-15,New Balance,Casual,Unkown,9.5,IND,Offline,2,59.99,119.98,Debit Card,Yes,1
2024-01-24,ASICS,Basketball,Other,N/A,Germany,Web,2,120.50,241.00,Debit Card,Yes,1
2023-05-24,New Balance,Running,F,7,USA,unknown,,79.99,,Credit Card,Yes,0
2023-05-21,Nike,Training,F,N/A,IND,Online,2,59.99,119.98,PayPal,N/A,0
2024-05-14,New Balance,Football,M,7,Unkown,unknown,1,,,UPI,N/A,0
2023-01-18,Nike,Running,F,9,UK,Offline,,79.99,,PayPal,N/A,0
2023-12-29,Puma,Football,M,10,UK,Store,,59.99,,Unknown,Yes,
2023-02-02,Reebok,Casual,M,7,USA,unknown,,120.50,,Debit Card,Yes,0
2024-03-20,Under Armour,Running,F,7,UK,Offline,3,,,Unknown,N/A,0
2023-10-05,New Balance,Running,F,8.5,USA,Offline,1,99.99,99.99,PayPal,No,
2024-02-12,New Balance,Football,Unkown,8.5,Germany,unknown,3,79.99,239.97,Debit Card,Yes,
2023-12-21,Nike,Basketball,F,9.5,IND,Online,1,120.50,120.50,Unknown,Yes,0
2024-05-17,Reebok,Football,F,9.5,USA,Mobile App,3,,,UPI,No,
2023-03-17,Under Armour,Training,Unkown,9.5,IND,Store,3,79.99,239.97,Credit Card,Yes,1
2023-11-12,Nike,Training,M,N/A,Unkown,Mobile App,3,99.99,299.97,PayPal,No,1
2023-01-27,Nike,Casual,F,8.5,Germany,Online,3,,,UPI,No,0
2023-03-28,New Balance,Training,Unkown,9.5,USA,Offline,2,,,UPI,Yes,0
2024-05-19,Reebok,Basketball,M,8,IND,Store,1,79.99,79.99,Debit Card,No,
2023-07-20,Reebok,Basketball,F,9.5,IND,Web,1,79.99,79.99,UPI,No,
2023-05-20,ASICS,Training,M,8.5,USA,Web,3,,,UPI,Yes,
2024-05-17,Under Armour,Football,Other,8,UK,Mobile App,2,99.99,199.98,PayPal,No,
2023-01-28,Reebok,Basketball,Unkown,8,Germany,unknown,,79.99,,Cash,No,
2023-11-07,Under Armour,Football,M,N/A,Germany,Mobile App,3,79.99,239.97,Cash,N/A,
2024-03-04,Under Armour,Casual,F,8,USA,Offline,1,99.99,99.99,Unknown,Yes,1
2023-02-15,Under Armour,Football,M,7,USA,Store,,99.99,,Debit Card,N/A,
2024-06-15,Reebok,Casual,Unkown,9,IND,Online,2,120.50,241.00,Cash,Yes,0
2024-03-01,Puma,Football,F,N/A,IND,Web,1,79.99,79.99,Credit Card,No,
2024-04-08,ASICS,Running,M,8.5,USA,unknown,1,99.99,99.99,Debit Card,No,
2023-06-28,Reebok,Training,M,9,USA,unknown,2,99.99,199.98,Unknown,No,0
2023-01-30,Reebok,Running,Unkown,10,UK,Store,2,120.50,241.00,Unknown,Yes,
2023-04-15,Reebok,Running,Other,N/A,Unkown,unknown,2,99.99,199.98,UPI,N/A,0
2024-02-06,Reebok,Casual,F,11,USA,unknown,1,99.99,99.99,Debit Card,Yes,1
2023-09-02,Adidas,Casual,M,9.5,USA,Mobile App,1,79.99,79.99,Cash,No,1
2024-05-13,Adidas,Football,Other,9,USA,Store,2,,,Cash,N/A,1
2024-01-03,Adidas,Football,F,N/A,Germany,unknown,,79.99,,Cash,No,
2023-11-22,Reebok,Football,Other,7,IND,Web,,120.50,,Unknown,No,0
2024-03-30,Under Armour,Training,Other,7,IND,Offline,2,59.99,119.98,PayPal,Yes,1
2024-04-13,New Balance,Running,F,8,IND,Mobile App,,,,UPI,N/A,1
2024-03-27,Under Armour,Training,Other,7,Germany,Store,2,120.50,241.00,UPI,Yes,0
2023-05-01,ASICS,Basketball,Unkown,9.5,USA,Mobile App,2,,,Debit Card,No,1
2023-03-02,Puma,Casual,F,9,IND,unknown,3,,,UPI,Yes,
2023-10-01,Under Armour,Football,M,11,USA,unknown,1,79.99,79.99,Debit Card,No,1
2023-11-26,Adidas,Casual,Unkown,11,Germany,Web,,120.50,,Cash,Yes,
2023-04-06,Reebok,Basketball,F,7,USA,unknown,3,99.99,299.97,Cash,Yes,1
2024-07-01,Reebok,Basketball,Other,11,IND,Mobile App,2,120.50,241.00,PayPal,No,
2024-05-11,Under Armour,Football,M,8,USA,Web,1,59.99,59.99,Cash,Yes,0
2023-07-27,Puma,Running,Unkown,8.5,IND,Online,2,99.99,199.98,UPI,No,1
2024-02-10,Nike,Running,M,10,Germany,Online,3,79.99,239.97,Debit Card,N/A,1
2024-06-15,Nike,Basketball,M,9.5,USA,Web,,59.99,,Credit Card,No,0
2023-04-02,Puma,Training,M,9,USA,Online,1,59.99,59.99,PayPal,N/A,1
2023-06-18,Adidas,Football,F,N/A,UK,Online,3,79.99,239.97,Credit Card,No,1
2024-01-29,Under Armour,Training,F,11,USA,Offline,,99.99,,PayPal,N/A,
2023-10-19,New Balance,Casual,F,9.5,IND,unknown,1,99.99,99.99,Credit Card,No,0
2024-01-31,Nike,Casual,M,8.5,IND,Offline,2,120.50,241.00,Cash,N/A,0
2024-01-10,Under Armour,Running,M,8,USA,Store,2,120.50,241.00,Debit Card,Yes,1
2024-02-12,Under Armour,Football,M,9.5,USA,unknown,3,,,PayPal,N/A,
2023-06-06,Adidas,Training,F,8.5,Germany,Mobile App,1,99.99,99.99,Unknown,Yes,0
2024-03-23,Reebok,Running,M,7,IND,unknown,2,59.99,119.98,Unknown,No,1
2023-01-13,Puma,Casual,F,11,USA,Store,2,59.99,119.98,Debit Card,Yes,
2023-05-01,Nike,Basketball,Unkown,8,Germany,Web,3,120.50,361.50,PayPal,Yes,1
2024-05-26,Under Armour,Running,F,8,UK,unknown,2,99.99,199.98,PayPal,Yes,1
2023-01-13,Adidas,Training,M,9.5,UK,Store,1,120.50,120.50,Debit Card,No,
2023-11-24,Puma,Running,F,7,USA,Offline,1,,,PayPal,Yes,0
2023-03-12,New Balance,Football,M,8.5,UK,Store,3,99.99,299.97,PayPal,Yes,
2023-09-06,Reebok,Training,Unkown,10,USA,Online,3,,,Cash,Yes,1
2023-12-21,ASICS,Football,Unkown,11,USA,Offline,1,99.99,99.99,PayPal,No,0
2024-05-18,Adidas,Casual,M,8.5,Germany,unknown,2,99.99,199.98,Credit Card,N/A,1
2024-06-01,New Balance,Casual,M,9.5,USA,Offline,,59.99,,UPI,Yes,0
2024-02-07,Adidas,Running,F,9,USA,Offline,3,99.99,299.97,Credit Card,No,0
2024-04-22,New Balance,Basketball,F,N/A,IND,Web,,59.99,,UPI,Yes,1
2023-06-11,Nike,Training,Other,9,USA,unknown,3,,,Debit Card,Yes,0
2024-06-09,Adidas,Running,M,N/A,Unkown,unknown,3,99.99,299.97,PayPal,No,1
2024-04-18,Under Armour,Training,F,10,Germany,Store,2,59.99,119.98,Unknown,Yes,
2023-09-23,ASICS,Football,F,8,IND,Online,1,59.99,59.99,Credit Card,No,1
2023-06-22,Reebok,Running,M,9.5,USA,Store,,120.50,,Debit Card,No,0
2023-10-14,New Balance,Training,Unkown,11,Germany,Web,2,59.99,119.98,PayPal,No,1
2023-03-31,Reebok,Training,Unkown,10,Unkown,Online,,79.99,,Cash,Yes,0
2024-05-11,Nike,Basketball,F,10,USA,Store,3,120.50,361.50,Credit Card,No,
2024-01-02,ASICS,Training,Other,7,UK,Mobile App,2,79.99,159.98,Cash,Yes,1
2023-06-30,Nike,Basketball,F,9,UK,Web,3,99.99,299.97,PayPal,Yes,1
2024-05-17,Adidas,Running,F,N/A,USA,Store,1,59.99,59.99,PayPal,No,1
2023-12-15,Adidas,Casual,Unkown,9,USA,Mobile App,2,99.99,199.98,UPI,Yes,0
2024-02-10,Adidas,Training,Unkown,9.5,Germany,unknown,1,99.99,99.99,UPI,No,
2024-01-01,ASICS,Basketball,F,9,USA,unknown,2,120.50,241.00,PayPal,No,
2023-02-03,Adidas,Casual,M,N/A,USA,Store,3,,,Unknown,Yes,1
2023-12-22,ASICS,Basketball,M,7,IND,Offline,2,59.99,119.98,Debit Card,Yes,0
2023-09-20,ASICS,Football,F,9.5,Germany,Web,1,59.99,59.99,UPI,N/A,0
2023-04-14,Under Armour,Running,Other,7,IND,Store,2,79.99,159.98,Credit Card,Yes,0
2023-06-24,Nike,Basketball,F,N/A,USA,Web,2,59.99,119.98,Unknown,No,
2024-03-20,Adidas,Football,Unkown,11,IND,Store,1,59.99,59.99,Debit Card,Yes,1
2024-02-07,Nike,Basketball,M,9.5,USA,Store,,79.99,,Unknown,N/A,0
2023-07-24,Puma,Running,M,8,IND,Web,1,79.99,79.99,Cash,No,
2023-09-29,Puma,Football,Other,9,Germany,Online,,79.99,,UPI,No,0
2023-09-27,Nike,Training,Unkown,8,USA,unknown,3,,,UPI,N/A,0
2023-08-21,Reebok,Casual,Unkown,N/A,UK,Web,1,120.50,120.50,UPI,Yes,0
2023-02-05,Reebok,Training,F,10,UK,Offline,2,59.99,119.98,Credit Card,No,1
2024-03-21,Puma,Basketball,Unkown,8,USA,Web,2,,,PayPal,No,
2023-11-30,Under Armour,Casual,F,9.5,USA,Web,,59.99,,Debit Card,No,
2023-04-13,Puma,Football,Other,9.5,Germany,Mobile App,1,99.99,99.99,PayPal,No,1
2023-06-26,New Balance,Casual,Unkown,9.5,USA,Web,,79.99,,UPI,No,1
2024-05-01,Under Armour,Basketball,Other,11,Germany,unknown,3,59.99,179.97,Unknown,Yes,1
2023-05-18,Puma,Football,F,8,UK,Web,,99.99,,Debit Card,No,
2024-05-11,Adidas,Running,Other,9.5,USA,Mobile App,3,59.99,179.97,PayPal,Yes,1
2023-07-17,Nike,Basketball,Unkown,10,IND,Store,1,79.99,79.99,Cash,N/A,0
2023-05-07,New Balance,Football,F,N/A,Unkown,Store,1,79.99,79.99,UPI,No,0
2023-04-03,Under Armour,Casual,F,10,UK,unknown,1,120.50,120.50,Debit Card,Yes,
